id,year,state_name,state_code,district_name,district_code,registration_circles,murder_with_rape_gang_rape,dowry_deaths,abetment_to_suicide_of_women,miscarriage,acid_attack,attempt_to_acid_attack,cruelty_by_husband_or_his_relatives,kidnapping_and_abduction,kidnapping_abduction_in_order_to_murder,kidnapping_for_ransom,kidnp_and_abductn_of_women_above_18_for_marrg,kidnp_and_abductn_of_girls_below_18_for_marrg,procuration_of_minor_girls,importation_of_girls_from_foreign,kidnapping_and_abduction_of_women_others,human_trafficking,selling_of_minor_girls,buying_of_minor_girls,rape_women_above_18,rape_girls_below_18,attempt_to_commit_rape_above_18,attempt_to_commit_rape_girls_below_18,assault_on_womenabove_18,assault_on_women_below_18,insult_to_the_modesty_of_women_above_18,insult_to_the_modesty_of_women_below_18,dowry_prohibition,procuring_inducing_children_for_the_sake_of_prostitution,detaining_a_prsn_in_premises_where_prost_is_carried,prostitution_in_or_in_the_vicinity_of_public_places,seducing_or_soliciting_for_purpose_of_prostitution,other_sections_under_itp_act,protection_of_women_from_domestic_violence,publshng_or_transmitting_of_sexually_explicit_mtrl,other_women_centric_cyber_crimes,child_rape,sexual_assault_of_children,child_sexual_harassment,use_of_child_for_pornography,offences_of_pocso_act,pocso_act_unnatural_offences,indecent_representation_of_women
0,2017,Andhra Pradesh,28,Ananthapuramu,502,Anantapur,0,14,55,0,0,0,471,11,0,4,7,25,16,0,3,2,0,0,20,23,10,1,408,9,7,1,0,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0
1,2017,Andhra Pradesh,28,Chittoor,503,Chittoor,0,8,24,1,0,0,212,5,0,0,1,2,2,0,0,0,0,0,6,18,4,5,163,5,12,0,28,0,0,0,0,0,0,0,0,6,2,1,0,0,0,0
2,2017,Andhra Pradesh,28,Y.S.R.,504,Cuddapah,0,15,134,0,0,0,481,1,0,0,1,6,15,0,0,2,0,0,23,18,4,2,490,5,59,1,7,0,4,0,0,0,0,1,0,15,2,3,0,0,1,0
3,2017,Andhra Pradesh,28,East Godavari,505,East Godavari,0,10,18,0,1,0,601,10,0,0,4,0,6,0,1,0,0,0,19,89,9,3,465,42,124,3,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
4,2017,Andhra Pradesh,28,Ananthapuramu,502,Guntakal Railway,0,3,1,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
5,2017,Andhra Pradesh,28,Guntur,506,Guntur,0,14,49,0,0,,558,7,0,0,2,5,69,0,3,0,0,0,32,58,17,10,301,27,380,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
6,2017,Andhra Pradesh,28,Guntur,506,Guntur Urban,0,1,35,0,0,,335,2,0,0,3,71,0,0,0,0,0,0,14,24,5,3,133,25,179,5,1,0,0,0,0,45,0,0,2,0,1,4,0,0,0,1
7,2017,Andhra Pradesh,28,Krishna,510,Krishna,0,14,33,0,0,,620,49,0,0,6,10,0,0,21,0,0,0,35,46,11,7,405,36,215,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
8,2017,Andhra Pradesh,28,Kurnool,511,Kurnool,3,18,68,1,0,,313,3,0,0,2,15,17,0,3,0,0,0,17,17,6,0,336,3,409,1,395,4,0,1,0,0,0,0,0,15,6,5,0,0,0,0
9,2017,Andhra Pradesh,28,Sri Potti Sriramulu Nellore,515,Nellore,0,6,28,0,0,,469,14,0,0,1,8,1,0,2,0,0,0,15,43,13,2,296,0,88,2,0,0,0,0,0,13,0,0,0,0,10,2,0,1,0,0
10,2017,Andhra Pradesh,28,Prakasam,517,Prakasham,0,6,37,0,0,,598,15,0,0,10,15,5,0,5,10,0,0,35,56,13,0,368,5,4,0,1,0,0,0,0,0,0,0,0,56,20,20,0,0,0,0
11,2017,Andhra Pradesh,28,East Godavari,505,Rajahmundry,0,1,12,1,0,,163,0,0,0,0,3,1,0,0,2,0,0,15,11,2,2,92,6,26,5,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0
12,2017,Andhra Pradesh,28,Srikakulam,519,Srikakulam,1,7,18,0,0,,224,0,0,0,0,10,0,0,0,1,0,0,10,27,0,0,88,9,7,0,0,1,0,0,0,0,0,0,1,2,0,1,0,0,0,0
13,2017,Andhra Pradesh,28,Tirupati,752,Tirupathi Urban,0,7,7,0,0,,86,0,0,0,1,3,0,0,14,0,0,0,2,15,2,2,81,2,55,0,0,0,0,0,0,1,0,0,0,15,3,0,0,0,0,0
14,2017,Andhra Pradesh,28,Ntr,749,Vijayawada City,0,10,14,0,0,,460,9,0,0,3,7,5,0,0,18,0,0,41,38,1,1,233,42,117,18,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0
15,2017,Andhra Pradesh,28,Ntr,749,Vijayawada Railway,0,0,2,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2017,Andhra Pradesh,28,Visakhapatnam,520,Visakha Rural,0,1,6,0,0,,116,16,0,0,2,0,0,0,0,0,0,0,27,8,4,1,142,6,23,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
17,2017,Andhra Pradesh,28,Visakhapatnam,520,Visakhapatnam,0,7,16,0,0,,449,81,0,0,1,0,0,0,1,3,0,0,63,27,0,0,297,17,75,1,0,0,1,1,0,7,0,0,2,0,1,1,0,1,0,0
18,2017,Andhra Pradesh,28,Vizianagaram,521,Vizianagaram,1,3,7,0,0,,221,6,0,0,0,0,0,0,0,0,0,0,18,18,1,1,97,5,53,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0
19,2017,Andhra Pradesh,28,West Godavari,523,West Godavari,1,7,33,0,1,,777,15,0,0,2,22,1,0,24,4,0,0,60,0,23,10,474,6,108,0,0,5,0,3,0,3,0,0,0,70,53,42,0,0,0,0
20,2017,Arunachal Pradesh,12,Anjaw,628,Anjaw,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2017,Arunachal Pradesh,12,Changlang,229,Changlang,0,0,0,0,0,,1,1,0,0,3,0,0,0,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2017,Arunachal Pradesh,12,Papum Pare,237,Crime Branch,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2017,Arunachal Pradesh,12,Dibang Valley,230,Dibang Valley,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2017,Arunachal Pradesh,12,East Kameng,231,Kameng East,0,0,0,0,0,,1,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2017,Arunachal Pradesh,12,West Kameng,242,Kameng West,0,0,0,0,0,,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2017,Arunachal Pradesh,12,Kurung Kumey,233,Kurung Kumey,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2017,Arunachal Pradesh,12,Lohit,234,Lohit,0,0,0,0,0,0,3,1,0,0,2,0,0,0,5,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2017,Arunachal Pradesh,12,Longding,666,Longding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2017,Arunachal Pradesh,12,Lower Dibang Valley,235,Lower Dibang Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2017,Arunachal Pradesh,12,Papum Pare,237,Papum Pare City,0,0,2,0,0,0,30,17,0,1,1,1,0,0,10,1,0,0,4,8,4,4,27,6,4,0,0,0,0,1,1,0,0,0,0,1,2,0,0,0,0,1
31,2017,Arunachal Pradesh,12,Papum Pare,237,Papum Pare Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
32,2017,Arunachal Pradesh,12,Lower Subansiri,236,Subansiri Lower,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2017,Arunachal Pradesh,12,Upper Subansiri,241,Subansiri Upper,0,0,1,0,0,0,5,1,0,0,1,0,0,0,0,0,0,0,2,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
34,2017,Arunachal Pradesh,12,Tawang,238,Tawang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2017,Arunachal Pradesh,12,Tirap,239,Tirap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2017,Arunachal Pradesh,12,Namsai,678,Namsai,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0
37,2017,Arunachal Pradesh,12,Siang,679,Siang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2017,Arunachal Pradesh,12,Kamle,718,Kamle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2017,Arunachal Pradesh,12,Lower Siang,719,Lower Siang,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2017,Assam,18,Kamrup Metro,618,Bieo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2017,Assam,18,Barpeta,280,Barpeta,3,22,0,0,0,0,792,0,0,0,280,54,27,0,0,4,0,0,176,0,52,0,261,0,0,0,0,0,0,0,0,6,0,0,70,9,0,5,0,0,79,0
42,2017,Assam,18,Baksa,616,Baksa,0,3,0,0,0,0,92,13,6,0,115,0,39,0,8,1,0,0,35,0,1,0,45,0,0,0,0,0,0,0,0,0,0,1,0,26,11,1,0,0,0,0
43,2017,Assam,18,Bongaigaon,281,Bongaigaon,1,9,0,0,0,0,338,2,0,0,89,0,29,0,0,2,0,0,45,0,13,0,56,0,0,0,0,0,0,0,0,0,0,0,0,29,9,1,0,0,0,0
44,2017,Assam,18,Kamrup Metro,618,Cid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2017,Assam,18,Cachar,282,Cachar,0,8,0,0,0,0,457,323,0,0,0,0,0,0,83,1,0,0,51,0,8,0,149,0,0,0,17,0,0,0,0,3,0,0,0,37,0,0,0,0,0,0
46,2017,Assam,18,Chirang,612,Chirang,1,0,3,0,0,0,74,13,0,0,17,0,0,0,0,1,0,0,30,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
47,2017,Assam,18,Darrang,283,Darrang,0,4,0,0,0,0,552,0,0,0,103,0,111,0,32,5,0,0,80,0,18,0,366,0,0,0,2,0,0,0,0,0,0,36,0,21,5,11,0,0,0,0
48,2017,Assam,18,Dhemaji,284,Dhemaji,5,6,1,0,0,0,149,0,0,0,48,0,61,0,3,0,2,0,43,0,20,0,98,0,0,0,1,1,0,1,0,0,0,0,0,15,10,2,0,0,0,0
49,2017,Assam,18,Dhubri,285,Dhubri,1,15,1,0,0,0,1054,19,1,2,151,0,136,0,43,9,3,0,81,0,54,0,560,0,2,0,3,0,0,0,0,5,0,0,0,68,18,3,0,0,2,0
50,2017,Assam,18,Dibrugarh,286,Dibrugarh,0,6,8,0,0,0,299,22,0,0,146,0,3,0,80,1,0,0,31,0,2,0,52,0,0,0,21,0,0,0,0,0,0,3,0,31,10,0,0,0,0,0
51,2017,Assam,18,Kamrup Metro,618,Grp,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
52,2017,Assam,18,Goalpara,287,Goalpara,0,6,0,0,3,0,123,45,0,1,79,0,43,0,0,2,0,0,48,0,28,0,100,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0
53,2017,Assam,18,Golaghat,288,Golaghat,4,1,0,0,0,0,310,55,0,1,75,0,39,0,21,4,0,0,55,0,4,0,122,0,3,0,1,0,0,0,0,4,0,0,0,20,9,4,0,0,0,0
54,2017,Assam,18,Kamrup Metro,618,Guwahati City,2,5,11,0,0,0,688,0,0,0,207,0,167,0,0,4,6,0,73,58,6,0,168,30,0,18,45,0,0,0,0,4,0,10,0,58,30,18,0,0,0,0
55,2017,Assam,18,Hailakandi,289,Hailakandi,0,7,0,2,0,0,273,0,0,0,73,0,0,0,0,0,0,0,81,0,8,0,88,0,0,0,0,0,0,0,0,0,0,0,0,16,4,2,0,0,0,0
56,2017,Assam,18,West Karbi Anglong,710,Hamren,0,0,0,0,0,0,15,0,0,0,15,0,0,0,0,0,0,0,17,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,2017,Assam,18,Jorhat,290,Jorhat,0,2,0,0,0,0,388,25,0,0,51,15,17,0,80,2,0,0,34,0,12,0,115,0,0,0,0,1,0,0,1,0,0,0,0,26,7,3,0,0,0,0
58,2017,Assam,18,Kamrup,291,Kamrup,0,3,0,0,0,0,350,8,0,2,41,25,10,0,19,5,0,0,90,0,5,0,44,45,16,0,0,0,0,0,0,0,0,0,3,41,32,1,2,0,0,0
59,2017,Assam,18,Karbi Anglong,292,Karbi Anglong,2,3,0,1,0,0,69,15,0,0,24,1,35,0,6,3,0,0,14,0,1,0,33,0,6,0,0,2,0,0,0,0,0,0,0,5,3,2,0,0,0,0
60,2017,Assam,18,Karimganj,293,Karimganj,1,11,0,0,0,0,259,22,0,2,65,0,0,0,0,0,0,0,66,0,8,0,65,0,34,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0,0,0
61,2017,Assam,18,Kokrajhar,294,Kokrajhar,1,4,0,0,0,0,168,0,0,0,33,18,0,0,0,4,0,0,35,0,12,0,67,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0
62,2017,Assam,18,Lakhimpur,295,Lakhimpur,0,7,0,0,0,0,438,16,0,6,102,192,32,0,0,11,0,0,69,0,0,0,26,0,0,0,59,0,0,0,0,0,0,0,0,49,8,0,0,0,0,0
63,2017,Assam,18,Marigaon,296,Morigaon,0,5,0,2,0,0,355,0,0,0,55,87,54,0,0,14,0,0,84,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0
64,2017,Assam,18,Dima Hasao,299,Dima Hasao,0,0,0,0,0,0,8,4,0,2,4,8,1,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,2017,Assam,18,Nagaon,297,Nagaon,3,7,5,0,0,1,963,22,0,3,171,0,237,0,22,11,0,0,93,0,29,0,304,0,0,0,29,0,0,0,0,4,0,0,0,63,0,0,0,0,0,0
66,2017,Assam,18,Nalbari,298,Nalbari,0,2,0,0,0,0,184,40,0,0,44,10,0,0,19,0,0,0,34,10,0,0,64,0,5,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
67,2017,Assam,18,Kamrup Metro,618,Rpo,1,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,2017,Assam,18,Kamrup Metro,618,Sou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,2017,Assam,18,Kamrup Metro,618,Stf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,2017,Assam,18,Sivasagar,300,Sibsagar,0,4,1,0,0,0,233,0,0,0,104,81,0,0,0,0,0,0,11,0,9,0,20,0,12,0,11,0,2,0,0,2,0,19,0,17,4,7,1,1,0,0
71,2017,Assam,18,Sonitpur,301,Sonitpur,0,0,0,0,0,0,383,49,0,0,206,100,6,0,0,7,0,0,50,0,0,7,35,21,0,0,0,0,0,0,0,0,0,0,0,29,9,1,0,0,0,0
72,2017,Assam,18,Tinsukia,302,Tinsukia,1,4,6,0,0,0,220,0,0,0,134,0,0,0,0,1,0,0,72,0,20,0,52,0,7,0,0,0,0,0,0,0,0,5,0,33,10,5,0,0,0,0
73,2017,Assam,18,Udalguri,617,Udalguri,0,4,0,0,0,0,40,0,0,0,20,0,0,0,0,2,0,0,12,23,12,20,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,2017,Assam,18,Tinsukia,302,Sadia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,2017,Assam,18,Majuli,706,Majuli,0,0,1,0,0,0,33,0,0,0,0,0,4,0,0,0,0,0,6,0,3,0,15,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
76,2017,Assam,18,Biswanath,705,Biswanath,1,6,2,0,0,0,111,35,0,0,0,0,27,0,1,4,0,0,17,0,0,0,47,5,0,0,0,0,0,0,0,0,0,0,15,18,10,0,0,0,0,0
77,2017,Assam,18,Hojai,709,Hojai,0,10,4,0,0,0,268,64,0,0,71,0,59,0,0,4,3,0,55,0,26,0,388,0,3,0,0,0,0,0,0,0,0,2,0,25,6,2,0,0,0,0
78,2017,Assam,18,South Salmara Mancachar,707,South Salmara,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,2,0,0,0,0,0
79,2017,Assam,18,Charaideo,708,Charaideo,0,1,1,0,0,0,81,4,0,0,23,0,34,0,0,1,0,0,12,0,0,0,15,0,0,0,0,1,1,0,0,0,0,0,0,17,6,1,0,0,0,0
80,2017,Bihar,10,Araria,188,Araria,,11,0,0,1,0,63,0,0,0,99,22,0,0,8,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,4,0,0,0,0,0
81,2017,Bihar,10,Arwal,611,Arwal,,6,0,0,0,0,28,7,0,0,0,18,0,0,0,1,0,0,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,5,2,0,0,0,0,0
82,2017,Bihar,10,Aurangabad,189,Aurangabad,,19,0,0,0,0,39,2,0,0,26,0,0,0,19,0,0,0,4,0,6,0,38,0,0,0,21,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0
83,2017,Bihar,10,Pashchim Champaran,211,Bagaha,,12,0,0,0,0,30,1,0,0,66,0,0,0,3,0,0,0,8,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0
84,2017,Bihar,10,Banka,190,Banka,,20,0,0,1,0,32,26,0,0,57,0,0,0,21,0,0,0,12,0,0,0,1,0,0,0,32,2,0,0,0,0,0,0,0,7,1,0,0,0,0,0
85,2017,Bihar,10,Begusarai,191,Begusarai,,20,0,0,1,0,46,0,0,0,15,21,0,0,100,0,0,0,11,0,10,0,10,0,0,0,25,0,0,0,0,0,0,0,0,10,37,0,0,0,0,0
86,2017,Bihar,10,Pashchim Champaran,211,Bettiah,,33,0,0,0,0,222,22,0,0,0,121,0,0,12,0,0,0,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,21,0,0,1,0,0
87,2017,Bihar,10,Bhagalpur,192,Bhagalpur,,13,0,0,0,0,114,0,0,0,260,0,0,0,0,0,0,0,48,0,6,0,6,0,0,0,142,0,0,0,0,0,0,0,0,23,20,0,0,0,0,0
88,2017,Bihar,10,Bhojpur,193,Bhojpur,,34,0,0,0,0,180,44,0,0,15,41,0,0,8,0,0,0,10,0,19,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,24,0,0,0,0,0
89,2017,Bihar,10,Buxar,194,Buxar,,18,0,0,0,,41,4,0,0,0,13,0,0,35,0,0,0,8,0,4,0,5,0,0,0,70,0,0,0,0,0,0,0,0,5,27,0,0,0,0,0
90,2017,Bihar,10,Darbhanga,195,Darbhanga,,17,0,0,0,,195,0,0,0,88,117,0,0,0,0,0,0,17,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,16,36,0,0,0,0,0
91,2017,Bihar,10,Gaya,196,Gaya,,49,0,0,0,,99,77,0,0,28,142,0,0,0,0,0,0,12,0,22,0,5,0,0,0,59,0,0,0,0,0,42,0,0,35,14,0,0,0,0,0
92,2017,Bihar,10,Gopalganj,197,Gopalganj,,25,0,0,0,,54,0,0,0,0,119,0,0,9,0,0,0,2,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,12,9,0,0,0,0,0
93,2017,Bihar,10,Munger,207,Jamalpur Railway,,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,2017,Bihar,10,Jamui,198,Jamui,,11,0,0,0,,75,0,0,0,0,67,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0
95,2017,Bihar,10,Jehanabad,199,Jehanabad,,18,0,0,0,,31,26,0,0,19,0,0,0,38,0,0,0,9,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,10,15,0,0,0,0,0
96,2017,Bihar,10,Katihar,201,Katihar,,14,0,0,0,,106,0,0,0,0,105,0,0,35,2,0,0,28,0,97,0,0,0,0,0,64,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0
97,2017,Bihar,10,Katihar,201,Katihar Railway,,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
98,2017,Bihar,10,Khagaria,202,Khagaria,0,10,0,0,0,,78,0,0,0,55,5,0,0,0,0,0,0,4,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0
99,2017,Bihar,10,Kishanganj,203,Kishanganj,0,14,0,0,0,,33,4,0,0,85,0,0,0,2,1,0,0,20,0,0,0,0,0,0,0,28,1,0,0,0,0,0,0,0,19,0,0,0,0,0,0
100,2017,Bihar,10,Lakhisarai,204,Lakhisarai,0,11,0,0,0,,41,0,0,0,9,0,0,0,0,0,0,0,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,42,0,0,0,0,0
101,2017,Bihar,10,Madhepura,205,Madhepura,0,11,0,0,0,,96,0,0,0,48,80,0,0,0,1,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,2,0,0,0,0,0
102,2017,Bihar,10,Madhubani,206,Madhubani,0,39,0,0,0,,199,0,0,0,0,201,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,31,0,0,0,0,0
103,2017,Bihar,10,Purbi Champaran,213,Motihari,0,59,0,0,0,,170,14,3,0,25,33,0,0,193,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,20,1,0,2,0,0,0
104,2017,Bihar,10,Munger,207,Munger,0,11,0,0,0,,78,0,0,0,55,0,0,0,0,0,0,0,6,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
105,2017,Bihar,10,Muzaffarpur,208,Muzaffarpur,0,58,0,0,0,,121,59,0,0,141,97,0,0,0,4,0,0,40,0,23,0,17,0,0,0,26,0,0,0,0,0,0,0,0,6,80,0,0,0,0,0
106,2017,Bihar,10,Muzaffarpur,208,Muzaffarpur Railway,0,0,0,0,0,,1,3,0,0,1,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0
107,2017,Bihar,10,Nalanda,209,Nalanda,0,62,0,0,0,,107,20,0,0,0,97,0,0,88,0,0,0,10,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,20,27,0,0,0,0,0
108,2017,Bihar,10,Bhagalpur,192,Naugachia,0,9,0,0,0,,23,0,0,0,17,43,0,0,32,0,0,0,2,0,1,0,5,0,0,0,24,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0
109,2017,Bihar,10,Nawada,210,Nawadah,0,17,0,0,1,,54,12,0,0,52,54,0,0,0,0,0,0,18,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,13,21,0,0,0,0,0
110,2017,Bihar,10,Patna,212,Patna,0,97,0,0,0,,447,0,0,0,800,0,0,0,0,0,0,0,54,0,22,0,10,0,0,0,0,0,0,0,0,0,0,0,0,40,90,0,0,0,0,0
111,2017,Bihar,10,Patna,212,Patna Railway,0,2,0,0,0,,0,0,0,0,2,3,0,0,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
112,2017,Bihar,10,Rohtas,215,Rohtas,0,36,0,0,0,,108,41,0,0,0,111,0,0,29,0,0,0,20,0,4,0,5,0,0,0,16,0,0,0,0,0,0,0,0,14,30,0,0,0,0,0
113,2017,Bihar,10,Saharsa,216,Saharsa,0,17,0,0,0,,75,0,0,0,72,6,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,21,0,0,0
114,2017,Bihar,10,Samastipur,217,Samastipur,0,42,0,0,0,,51,40,0,0,0,85,0,0,157,0,0,0,0,0,7,0,1,0,0,0,52,0,0,5,0,0,0,1,0,30,1,0,0,0,0,0
115,2017,Bihar,10,Saran,218,Saran,0,77,0,0,0,,78,0,0,0,262,0,0,0,45,0,0,0,20,0,3,0,0,0,1,0,121,0,0,0,0,3,0,0,0,18,0,10,0,0,0,0
116,2017,Bihar,10,Sheikhpura,219,Sheikhpura,0,12,0,0,0,,19,8,0,0,0,0,0,0,6,0,0,0,1,0,3,0,30,0,0,0,41,0,0,0,0,0,0,0,0,3,38,0,0,0,0,0
117,2017,Bihar,10,Sheohar,220,Sheohar,0,4,0,0,0,,19,0,0,0,0,44,0,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
118,2017,Bihar,10,Sitamarhi,221,Sitamarhi,0,28,0,0,0,,183,8,0,0,55,178,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,14,18,0,0,0,0,0
